Image Number,Image Pair,SSIM,PSNR,Histogram
p1-nomor1,Original vs. Original,1.00,100.00,1.00
p1-nomor1,Original vs. ns,0.86,35.80,0.99
p1-nomor1,Original vs. telea,0.86,35.80,0.99
p1-nomor1,Original vs. lap,0.78,29.70,0.01
p1-nomor1,Original vs. bilap,0.86,35.78,0.11
p1-nomor2,Original vs. Original,1.00,100.00,1.00
p1-nomor2,Original vs. ns,0.98,39.04,0.96
p1-nomor2,Original vs. telea,0.97,38.90,0.97
p1-nomor2,Original vs. lap,0.90,29.42,0.01
p1-nomor2,Original vs. bilap,0.98,39.18,0.11
p1-nomor3,Original vs. Original,1.00,100.00,1.00
p1-nomor3,Original vs. ns,0.89,35.59,0.72
p1-nomor3,Original vs. telea,0.89,35.59,0.73
p1-nomor3,Original vs. lap,0.44,28.41,0.07
p1-nomor3,Original vs. bilap,0.89,35.58,0.61
p1-nomor4,Original vs. Original,1.00,100.00,1.00
p1-nomor4,Original vs. ns,0.69,34.46,0.38
p1-nomor4,Original vs. telea,0.71,34.92,0.53
p1-nomor4,Original vs. lap,0.78,29.57,-0.00
p1-nomor4,Original vs. bilap,0.73,34.69,0.59
p1-nomor5,Original vs. Original,1.00,100.00,1.00
p1-nomor5,Original vs. ns,0.94,38.18,0.05
p1-nomor5,Original vs. telea,0.95,38.48,0.06
p1-nomor5,Original vs. lap,0.88,27.97,0.00
p1-nomor5,Original vs. bilap,0.91,36.88,0.03
p1-nomor6,Original vs. Original,1.00,100.00,1.00
p1-nomor6,Original vs. ns,0.88,36.88,0.91
p1-nomor6,Original vs. telea,0.89,36.93,0.98
p1-nomor6,Original vs. lap,0.82,27.78,0.00
p1-nomor6,Original vs. bilap,0.88,36.75,0.25
p1-nomor7,Original vs. Original,1.00,100.00,1.00
p1-nomor7,Original vs. ns,0.93,39.72,0.86
p1-nomor7,Original vs. telea,0.93,39.73,0.92
p1-nomor7,Original vs. lap,0.71,28.50,-0.00
p1-nomor7,Original vs. bilap,0.93,39.66,0.62
p1-nomor8,Original vs. Original,1.00,100.00,1.00
p1-nomor8,Original vs. ns,0.85,31.92,0.01
p1-nomor8,Original vs. telea,0.85,31.99,0.01
p1-nomor8,Original vs. lap,0.69,28.47,-0.00
p1-nomor8,Original vs. bilap,0.79,32.04,0.00
p1-nomor9,Original vs. Original,1.00,100.00,1.00
p1-nomor9,Original vs. ns,0.92,36.43,0.12
p1-nomor9,Original vs. telea,0.90,36.09,0.68
p1-nomor9,Original vs. lap,0.81,28.13,-0.01
p1-nomor9,Original vs. bilap,0.87,35.75,0.09
p1-nomor10,Original vs. Original,1.00,100.00,1.00
p1-nomor10,Original vs. ns,0.90,36.34,0.72
p1-nomor10,Original vs. telea,0.90,36.36,0.76
p1-nomor10,Original vs. lap,0.71,28.91,-0.01
p1-nomor10,Original vs. bilap,0.90,36.29,0.49
p1-nomor11,Original vs. Original,1.00,100.00,1.00
p1-nomor11,Original vs. ns,0.93,37.09,0.79
p1-nomor11,Original vs. telea,0.93,37.14,0.79
p1-nomor11,Original vs. lap,0.74,28.77,-0.01
p1-nomor11,Original vs. bilap,0.92,36.84,0.29
p1-nomor12,Original vs. Original,1.00,100.00,1.00
p1-nomor12,Original vs. ns,0.68,34.40,0.84
p1-nomor12,Original vs. telea,0.68,34.40,0.84
p1-nomor12,Original vs. lap,0.32,28.35,-0.01
p1-nomor12,Original vs. bilap,0.68,34.39,0.75
p1-nomor13,Original vs. Original,1.00,100.00,1.00
p1-nomor13,Original vs. ns,0.89,36.14,0.88
p1-nomor13,Original vs. telea,0.89,36.20,0.93
p1-nomor13,Original vs. lap,0.57,29.34,0.15
p1-nomor13,Original vs. bilap,0.88,36.05,0.13
p1-nomor14,Original vs. Original,1.00,100.00,1.00
p1-nomor14,Original vs. ns,0.97,32.17,0.00
p1-nomor14,Original vs. telea,0.97,32.17,0.00
p1-nomor14,Original vs. lap,0.95,27.84,-0.00
p1-nomor14,Original vs. bilap,0.96,32.21,-0.00
p1-nomor15,Original vs. Original,1.00,100.00,1.00
p1-nomor15,Original vs. ns,0.96,39.95,1.00
p1-nomor15,Original vs. telea,0.95,39.84,1.00
p1-nomor15,Original vs. lap,0.88,33.08,0.00
p1-nomor15,Original vs. bilap,0.94,39.64,0.99
p1-nomor16,Original vs. Original,1.00,100.00,1.00
p1-nomor16,Original vs. ns,0.90,36.99,0.76
p1-nomor16,Original vs. telea,0.91,37.12,0.83
p1-nomor16,Original vs. lap,0.84,28.49,-0.01
p1-nomor16,Original vs. bilap,0.88,36.68,0.06
p1-nomor17,Original vs. Original,1.00,100.00,1.00
p1-nomor17,Original vs. ns,0.76,28.36,-0.03
p1-nomor17,Original vs. telea,0.74,28.36,-0.03
p1-nomor17,Original vs. lap,0.61,28.97,0.09
p1-nomor17,Original vs. bilap,0.71,28.47,0.01
p1-nomor18,Original vs. Original,1.00,100.00,1.00
p1-nomor18,Original vs. ns,0.90,36.71,0.75
p1-nomor18,Original vs. telea,0.91,36.74,0.75
p1-nomor18,Original vs. lap,0.46,28.79,-0.00
p1-nomor18,Original vs. bilap,0.89,36.63,0.22
p1-nomor19,Original vs. Original,1.00,100.00,1.00
p1-nomor19,Original vs. ns,0.80,32.37,0.13
p1-nomor19,Original vs. telea,0.81,32.39,0.19
p1-nomor19,Original vs. lap,0.30,28.23,0.11
p1-nomor19,Original vs. bilap,0.77,32.35,0.11
p1-nomor20,Original vs. Original,1.00,100.00,1.00
p1-nomor20,Original vs. ns,0.74,32.48,0.22
p1-nomor20,Original vs. telea,0.75,32.57,0.25
p1-nomor20,Original vs. lap,0.59,29.01,-0.01
p1-nomor20,Original vs. bilap,0.65,32.12,0.02
p1-nomor21,Original vs. Original,1.00,100.00,1.00
p1-nomor21,Original vs. ns,0.84,33.17,0.22
p1-nomor21,Original vs. telea,0.85,33.07,0.17
p1-nomor21,Original vs. lap,0.69,29.34,-0.01
p1-nomor21,Original vs. bilap,0.76,33.04,0.03
p1-nomor22,Original vs. Original,1.00,100.00,1.00
p1-nomor22,Original vs. ns,0.94,39.60,0.97
p1-nomor22,Original vs. telea,0.87,35.60,0.98
p1-nomor22,Original vs. lap,0.85,33.78,0.74
p1-nomor22,Original vs. bilap,0.96,42.54,0.95
p1-nomor23,Original vs. Original,1.00,100.00,1.00
p1-nomor23,Original vs. ns,0.94,37.53,0.92
p1-nomor23,Original vs. telea,0.94,37.55,0.92
p1-nomor23,Original vs. lap,0.64,27.82,-0.02
p1-nomor23,Original vs. bilap,0.93,37.52,0.15
p1-nomor24,Original vs. Original,1.00,100.00,1.00
p1-nomor24,Original vs. ns,0.80,33.13,0.67
p1-nomor24,Original vs. telea,0.79,33.13,0.85
p1-nomor24,Original vs. lap,0.57,28.76,-0.01
p1-nomor24,Original vs. bilap,0.80,32.98,0.33
p1-nomor25,Original vs. Original,1.00,100.00,1.00
p1-nomor25,Original vs. ns,0.89,33.98,0.76
p1-nomor25,Original vs. telea,0.89,34.11,0.85
p1-nomor25,Original vs. lap,0.50,27.63,0.14
p1-nomor25,Original vs. bilap,0.82,33.53,0.09
p1-nomor26,Original vs. Original,1.00,100.00,1.00
p1-nomor26,Original vs. ns,0.86,35.10,0.90
p1-nomor26,Original vs. telea,0.86,35.02,0.93
p1-nomor26,Original vs. lap,0.53,27.68,0.14
p1-nomor26,Original vs. bilap,0.87,34.48,0.71
p1-nomor27,Original vs. Original,1.00,100.00,1.00
p1-nomor27,Original vs. ns,0.87,35.41,0.27
p1-nomor27,Original vs. telea,0.87,35.41,0.27
p1-nomor27,Original vs. lap,0.69,28.22,-0.02
p1-nomor27,Original vs. bilap,0.87,35.39,0.15
p1-nomor28,Original vs. Original,1.00,100.00,1.00
p1-nomor28,Original vs. ns,0.88,33.21,0.28
p1-nomor28,Original vs. telea,0.88,32.87,0.22
p1-nomor28,Original vs. lap,0.62,28.39,-0.01
p1-nomor28,Original vs. bilap,0.52,31.14,0.00
p1-nomor29,Original vs. Original,1.00,100.00,1.00
p1-nomor29,Original vs. ns,0.92,37.18,0.75
p1-nomor29,Original vs. telea,0.92,37.15,0.76
p1-nomor29,Original vs. lap,0.77,29.04,-0.01
p1-nomor29,Original vs. bilap,0.84,36.32,0.09
p1-nomor30,Original vs. Original,1.00,100.00,1.00
p1-nomor30,Original vs. ns,0.86,34.78,0.98
p1-nomor30,Original vs. telea,0.86,34.65,0.97
p1-nomor30,Original vs. lap,0.62,29.72,0.01
p1-nomor30,Original vs. bilap,0.85,34.29,0.49
p1-nomor31,Original vs. Original,1.00,100.00,1.00
p1-nomor31,Original vs. ns,0.95,37.17,0.98
p1-nomor31,Original vs. telea,0.95,37.13,0.98
p1-nomor31,Original vs. lap,0.69,29.94,0.01
p1-nomor31,Original vs. bilap,0.93,36.91,0.50
p1-nomor32,Original vs. Original,1.00,100.00,1.00
p1-nomor32,Original vs. ns,0.90,35.88,0.97
p1-nomor32,Original vs. telea,0.90,35.77,0.98
p1-nomor32,Original vs. lap,0.66,29.86,0.00
p1-nomor32,Original vs. bilap,0.90,35.62,0.64
p1-nomor33,Original vs. Original,1.00,100.00,1.00
p1-nomor33,Original vs. ns,0.94,37.83,1.00
p1-nomor33,Original vs. telea,0.93,37.38,0.98
p1-nomor33,Original vs. lap,0.50,29.49,0.44
p1-nomor33,Original vs. bilap,0.84,35.07,0.81
p1-nomor34,Original vs. Original,1.00,100.00,1.00
p1-nomor34,Original vs. ns,0.78,34.39,0.81
p1-nomor34,Original vs. telea,0.78,34.49,0.82
p1-nomor34,Original vs. lap,0.45,29.49,0.02
p1-nomor34,Original vs. bilap,0.74,34.16,0.54
p1-nomor35,Original vs. Original,1.00,100.00,1.00
p1-nomor35,Original vs. ns,0.93,37.38,0.94
p1-nomor35,Original vs. telea,0.93,37.38,0.94
p1-nomor35,Original vs. lap,0.54,29.81,0.02
p1-nomor35,Original vs. bilap,0.93,37.36,0.94
p1-nomor36,Original vs. Original,1.00,100.00,1.00
p1-nomor36,Original vs. ns,0.84,35.67,0.40
p1-nomor36,Original vs. telea,0.84,35.30,0.41
p1-nomor36,Original vs. lap,0.66,27.98,0.00
p1-nomor36,Original vs. bilap,0.82,35.11,0.36
p1-nomor37,Original vs. Original,1.00,100.00,1.00
p1-nomor37,Original vs. ns,0.78,36.44,0.89
p1-nomor37,Original vs. telea,0.89,37.50,0.24
p1-nomor37,Original vs. lap,0.36,30.06,0.26
p1-nomor37,Original vs. bilap,0.67,39.19,0.97
p1-nomor38,Original vs. Original,1.00,100.00,1.00
p1-nomor38,Original vs. ns,0.93,38.41,0.34
p1-nomor38,Original vs. telea,0.94,39.03,0.34
p1-nomor38,Original vs. lap,0.80,29.00,-0.00
p1-nomor38,Original vs. bilap,0.90,37.36,0.20
p1-nomor39,Original vs. Original,1.00,100.00,1.00
p1-nomor39,Original vs. ns,0.91,36.00,0.84
p1-nomor39,Original vs. telea,0.91,35.89,0.85
p1-nomor39,Original vs. lap,0.78,29.33,0.13
p1-nomor39,Original vs. bilap,0.82,34.90,0.06
p1-nomor40,Original vs. Original,1.00,100.00,1.00
p1-nomor40,Original vs. ns,0.83,33.62,0.70
p1-nomor40,Original vs. telea,0.83,33.61,0.70
p1-nomor40,Original vs. lap,0.63,28.81,-0.01
p1-nomor40,Original vs. bilap,0.80,33.60,0.06
p1-nomor41,Original vs. Original,1.00,100.00,1.00
p1-nomor41,Original vs. ns,0.83,33.28,-0.80
p1-nomor41,Original vs. telea,0.83,33.28,-1.04
p1-nomor41,Original vs. lap,0.39,28.25,-0.04
p1-nomor41,Original vs. bilap,0.81,33.18,-0.08
p1-nomor42,Original vs. Original,1.00,100.00,1.00
p1-nomor42,Original vs. ns,0.83,34.12,0.76
p1-nomor42,Original vs. telea,0.80,34.09,0.84
p1-nomor42,Original vs. lap,0.50,27.97,-0.00
p1-nomor42,Original vs. bilap,0.67,33.56,0.14
p1-nomor43,Original vs. Original,1.00,100.00,1.00
p1-nomor43,Original vs. ns,0.98,43.68,0.98
p1-nomor43,Original vs. telea,0.98,43.66,0.99
p1-nomor43,Original vs. lap,0.36,28.25,0.10
p1-nomor43,Original vs. bilap,0.97,44.86,0.91
p1-nomor44,diff-shape,0.00,0.00,0.00
p1-nomor45,Original vs. Original,1.00,100.00,1.00
p1-nomor45,Original vs. ns,0.97,44.21,1.00
p1-nomor45,Original vs. telea,0.97,44.10,1.00
p1-nomor45,Original vs. lap,0.58,29.54,0.19
p1-nomor45,Original vs. bilap,0.97,44.16,1.00
p1-nomor46,Original vs. Original,1.00,100.00,1.00
p1-nomor46,Original vs. ns,0.97,43.57,1.00
p1-nomor46,Original vs. telea,0.97,43.58,1.00
p1-nomor46,Original vs. lap,0.58,28.08,-0.00
p1-nomor46,Original vs. bilap,0.97,43.31,0.91
p1-nomor47,Original vs. Original,1.00,100.00,1.00
p1-nomor47,Original vs. ns,0.88,36.53,0.98
p1-nomor47,Original vs. telea,0.88,36.53,0.99
p1-nomor47,Original vs. lap,0.34,28.51,-0.01
p1-nomor47,Original vs. bilap,0.84,35.88,0.13
p1-nomor48,Original vs. Original,1.00,100.00,1.00
p1-nomor48,Original vs. ns,0.71,32.62,0.17
p1-nomor48,Original vs. telea,0.71,32.67,0.23
p1-nomor48,Original vs. lap,0.48,28.32,-0.01
p1-nomor48,Original vs. bilap,0.63,32.67,0.03
p1-nomor49,Original vs. Original,1.00,100.00,1.00
p1-nomor49,Original vs. ns,0.97,41.84,0.93
p1-nomor49,Original vs. telea,0.96,41.60,0.93
p1-nomor49,Original vs. lap,0.55,31.20,0.92
p1-nomor49,Original vs. bilap,0.97,42.01,0.86
p1-nomor50,Original vs. Original,1.00,100.00,1.00
p1-nomor50,Original vs. ns,0.99,45.36,0.97
p1-nomor50,Original vs. telea,0.99,43.93,0.98
p1-nomor50,Original vs. lap,0.78,28.50,0.16
p1-nomor50,Original vs. bilap,0.99,45.01,0.85
p1-nomor51,Original vs. Original,1.00,100.00,1.00
p1-nomor51,Original vs. ns,0.97,42.85,1.00
p1-nomor51,Original vs. telea,0.98,41.70,1.00
p1-nomor51,Original vs. lap,0.87,29.86,0.00
p1-nomor51,Original vs. bilap,0.97,41.79,1.00
p1-nomor52,Original vs. Original,1.00,100.00,1.00
p1-nomor52,Original vs. ns,0.92,39.59,0.99
p1-nomor52,Original vs. telea,0.92,39.44,0.99
p1-nomor52,Original vs. lap,0.44,28.55,-0.00
p1-nomor52,Original vs. bilap,0.79,36.15,0.89
p1-nomor53,Original vs. Original,1.00,100.00,1.00
p1-nomor53,Original vs. ns,0.98,42.77,0.84
p1-nomor53,Original vs. telea,0.98,41.71,0.87
p1-nomor53,Original vs. lap,0.81,30.04,0.54
p1-nomor53,Original vs. bilap,0.99,43.61,0.97
p1-nomor54,Original vs. Original,1.00,100.00,1.00
p1-nomor54,Original vs. ns,0.94,39.81,1.00
p1-nomor54,Original vs. telea,0.94,39.73,1.00
p1-nomor54,Original vs. lap,0.59,28.26,0.00
p1-nomor54,Original vs. bilap,0.95,39.09,0.11
p1-nomor55,Original vs. Original,1.00,100.00,1.00
p1-nomor55,Original vs. ns,0.95,40.45,0.96
p1-nomor55,Original vs. telea,0.95,40.54,0.98
p1-nomor55,Original vs. lap,0.40,28.25,0.00
p1-nomor55,Original vs. bilap,0.95,40.31,0.88
p1-nomor56,Original vs. Original,1.00,100.00,1.00
p1-nomor56,Original vs. ns,0.93,41.73,0.99
p1-nomor56,Original vs. telea,0.93,41.74,0.99
p1-nomor56,Original vs. lap,0.50,28.56,0.04
p1-nomor56,Original vs. bilap,0.93,41.62,0.50
p1-nomor57,Original vs. Original,1.00,100.00,1.00
p1-nomor57,Original vs. ns,0.90,38.91,0.96
p1-nomor57,Original vs. telea,0.90,39.00,0.97
p1-nomor57,Original vs. lap,0.65,27.78,-0.01
p1-nomor57,Original vs. bilap,0.89,38.37,0.21
p1-nomor58,Original vs. Original,1.00,100.00,1.00
p1-nomor58,Original vs. ns,0.82,36.52,1.00
p1-nomor58,Original vs. telea,0.82,36.54,1.00
p1-nomor58,Original vs. lap,0.50,27.59,-0.00
p1-nomor58,Original vs. bilap,0.81,36.18,0.46
p1-nomor59,Original vs. Original,1.00,100.00,1.00
p1-nomor59,Original vs. ns,0.93,40.78,1.00
p1-nomor59,Original vs. telea,0.93,40.81,1.00
p1-nomor59,Original vs. lap,0.31,28.52,0.18
p1-nomor59,Original vs. bilap,0.93,40.54,1.00
p1-nomor60,Original vs. Original,1.00,100.00,1.00
p1-nomor60,Original vs. ns,0.97,41.86,1.00
p1-nomor60,Original vs. telea,0.96,41.92,1.00
p1-nomor60,Original vs. lap,0.47,28.11,-0.00
p1-nomor60,Original vs. bilap,0.96,41.51,1.00
p1-nomor61,Original vs. Original,1.00,100.00,1.00
p1-nomor61,Original vs. ns,0.83,37.91,1.00
p1-nomor61,Original vs. telea,0.83,38.05,1.00
p1-nomor61,Original vs. lap,0.22,28.28,-0.00
p1-nomor61,Original vs. bilap,0.81,37.98,0.98
p1-nomor62,Original vs. Original,1.00,100.00,1.00
p1-nomor62,Original vs. ns,0.94,39.36,0.93
p1-nomor62,Original vs. telea,0.94,39.27,0.95
p1-nomor62,Original vs. lap,0.44,28.40,-0.03
p1-nomor62,Original vs. bilap,0.94,39.06,0.45
p1-nomor63,Original vs. Original,1.00,100.00,1.00
p1-nomor63,Original vs. ns,0.96,44.75,1.00
p1-nomor63,Original vs. telea,0.96,44.81,1.00
p1-nomor63,Original vs. lap,0.69,29.27,-0.00
p1-nomor63,Original vs. bilap,0.96,44.55,0.79
p1-nomor64,Original vs. Original,1.00,100.00,1.00
p1-nomor64,Original vs. ns,0.88,39.21,0.99
p1-nomor64,Original vs. telea,0.88,39.38,0.99
p1-nomor64,Original vs. lap,0.43,28.18,0.10
p1-nomor64,Original vs. bilap,0.87,39.65,0.89
p1-nomor65,Original vs. Original,1.00,100.00,1.00
p1-nomor65,Original vs. ns,0.95,40.23,1.00
p1-nomor65,Original vs. telea,0.95,40.18,1.00
p1-nomor65,Original vs. lap,0.37,28.18,0.01
p1-nomor65,Original vs. bilap,0.95,39.89,0.96
p1-nomor66,Original vs. Original,1.00,100.00,1.00
p1-nomor66,Original vs. ns,0.90,36.97,0.91
p1-nomor66,Original vs. telea,0.90,37.14,0.90
p1-nomor66,Original vs. lap,0.42,28.62,0.21
p1-nomor66,Original vs. bilap,0.88,37.24,0.86
p1-nomor67,Original vs. Original,1.00,100.00,1.00
p1-nomor67,Original vs. ns,0.94,40.38,0.98
